Date,Day,Lunch,Plates in Phase 1,Plates in Phase 2,Plates in Phase 3,Plates in Phase 4,Plate Dum,Event,Total Students
12-09-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",593,1813,1833,1224,6059,FALSE,5463
13-09-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",516,1829,1702,1243,6687,FALSE,5290
14-09-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",711,1890,1673,1223,6610,FALSE,5497
15-09-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",610,1846,1692,1291,6066,FALSE,5439
16-09-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",525,1856,1632,1201,6345,FALSE,5214
17-09-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",19,2069,1758,1242,5129,FALSE,5088
18-09-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",526,1909,1716,1311,6878,FALSE,5462
19-09-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",645,1943,1605,1273,6844,FALSE,5466
20-09-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",726,1826,1698,1204,6512,FALSE,5454
21-09-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",522,2053,1634,1236,6503,FALSE,5445
22-09-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",533,1827,1609,1483,6714,FALSE,5452
23-09-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",610,1870,1629,1264,6679,FALSE,5373
24-09-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",611,2034,1653,1296,6514,FALSE,5594
25-09-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",551,1820,1706,1380,6750,FALSE,5457
26-09-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",512,1813,1622,1414,6225,FALSE,5361
27-09-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",536,1871,1799,1243,6620,FALSE,5449
28-09-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",769,1828,1647,1210,6759,FALSE,5454
29-09-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",673,1819,1684,1245,6975,FALSE,5421
30-09-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",508,1942,1678,1371,5920,FALSE,5499
01-10-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",86,1995,1726,1451,5280,FALSE,5258
02-10-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",680,1860,1619,1288,6354,FALSE,5447
03-10-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",532,1837,1869,1231,7015,FALSE,5469
04-10-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",569,1875,1617,1296,6442,FALSE,5357
05-10-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",593,1867,1617,1365,6371,FALSE,5442
06-10-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",558,1899,1775,1223,6568,FALSE,5455
07-10-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",510,1852,1848,1236,6772,FALSE,5446
08-10-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",501,1840,1698,1378,6300,FALSE,5417
09-10-2022,weekend,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",539,2066,1644,1315,5852,FALSE,5564
10-10-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",530,1908,1601,1449,7520,FALSE,5488
11-10-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",502,1879,1775,1278,6536,FALSE,5434
12-10-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",566,1951,1637,1277,6644,FALSE,5431
13-10-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",542,1816,1632,1298,7515,FALSE,5288
14-10-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",586,1861,1613,1237,6251,FALSE,5297
15-10-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",575,1998,1707,1295,6135,FALSE,5575
16-10-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",556,1869,1601,1318,6009,FALSE,5344
17-10-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",608,1835,1633,1232,7132,FALSE,5308
18-10-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",549,1865,1699,1272,6931,FALSE,5385
19-10-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",676,1831,1716,1262,6154,TRUE,5485
20-10-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",596,1877,1650,1289,7432,FALSE,5412
21-10-2022,weekday,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",709,1887,1647,1239,7377,FALSE,5482
22-10-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",508,1940,1866,1234,6161,FALSE,5548
23-10-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",723,1869,1609,1304,6142,FALSE,5505
24-10-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",606,1846,1776,1225,7358,TRUE,5453
25-10-2022,weekday,"('Veg Makhani', 'Chatpata Achari Aloo', 'Kadi pakoda')",563,1833,1674,1231,6648,TRUE,5301
26-10-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",717,1854,1605,1209,6658,FALSE,5385
27-10-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",616,1840,1612,1403,6624,FALSE,5471
28-10-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",588,1912,1600,1288,7821,FALSE,5388
29-10-2022,weekend,"('Mix veg', 'Paneer kadai', 'channa dal')",598,1862,1781,1258,5701,FALSE,5499
30-10-2022,weekend,"('Urial Roast', 'Idli', 'Sambhar')",768,1815,1628,1327,6292,FALSE,5538
31-10-2022,weekday,"('Handi veg', 'shahi panner', 'Moong Dal')",507,1883,1663,1344,6743,FALSE,5397
01-11-2022,weekday,"('Urial Roast', 'Idli', 'Sambhar')",545,1820,1688,1314,6808,FALSE,5367
02-11-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",500,1868,1642,1400,7301,FALSE,5410
03-11-2022,weekday,"('Mix veg', 'Paneer kadai', 'channa dal')",517,1814,1608,1212,7687,FALSE,5151
04-11-2022,weekday,"('Subjmiloni', 'Soya chaap masala', 'Dal Makhani')",526,1965,1698,1238,6935,FALSE,5427
05-11-2022,weekend,"('Mirchi Salan', 'Egg briyani', 'veg Biryani')",501,1986,1749,1208,6790,FALSE,5444
06-11-2022,weekend,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",655,1943,1696,1203,6260,FALSE,5497
07-11-2022,weekday,"('Dum Aloo', 'Lauki tamatar', 'Rajma')",673,1825,1659,1248,6767,FALSE,5405
